,marca_temporal,lugar_residencia,lugar_residencia_py,estado_calles,problema_baches,estimacion_cantidad,tipo_camino,tiempo_reparaciones,como_denunciar,acceso_informacion,sufrio_accidentes,frecuencia_mantenimiento,denunciaria_baches,util_conocer,respuesta_gubernamental,regularidad_reparaciones
242,6/11/2022 10:31:14,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,MUCHO,SI,SI,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
248,6/11/2022 14:17:18,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO ME INTERESA EL TEMA,LAMENTABLE,NUNCA
253,7/11/2022 14:52:24,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
255,8/11/2022 13:49:48,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,NUNCA
257,8/11/2022 21:13:18,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,SI,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
266,8/11/2022 21:37:18,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
270,8/11/2022 21:44:50,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
271,8/11/2022 21:46:24,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,MUCHO,NO,NO SE,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
274,8/11/2022 22:00:42,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,SI,NO,,SI,SI,LAMENTABLE,NUNCA
277,8/11/2022 22:06:09,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
279,8/11/2022 22:09:21,Paraguay,Central,Malo,SI,NO SE,PIEDRA,POCO,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
280,8/11/2022 22:09:28,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,REGULARMENTE
284,8/11/2022 22:17:20,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,SI,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
286,8/11/2022 22:35:31,Paraguay,Central,Malo,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
288,8/11/2022 22:39:20,Paraguay,Central,Malo,SI,POCOS,PIEDRA,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
289,8/11/2022 22:41:21,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,NO SE,LAMENTABLE,NUNCA
291,8/11/2022 22:44:30,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
293,8/11/2022 23:07:35,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,SI,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
294,8/11/2022 23:09:32,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
