,marca_temporal,lugar_residencia,lugar_residencia_py,estado_calles,problema_baches,estimacion_cantidad,tipo_camino,tiempo_reparaciones,como_denunciar,acceso_informacion,sufrio_accidentes,frecuencia_mantenimiento,denunciaria_baches,util_conocer,respuesta_gubernamental,regularidad_reparaciones
402,9/11/2022 18:05:33,Paraguay,Central,Bueno,NO,POCOS,ASFALTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI,SI,BUENA,REGULARMENTE
403,9/11/2022 18:06:08,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
407,9/11/2022 18:12:57,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
409,9/11/2022 18:21:25,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,SI,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,NO SE,LAMENTABLE,NUNCA
413,9/11/2022 18:31:29,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,NO SE,NO,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
414,9/11/2022 18:34:31,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,MUCHO,NO,NO SE,NO,FRECUENTEMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
415,9/11/2022 18:35:22,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO,NO,,SI,SI,LAMENTABLE,NUNCA
418,9/11/2022 18:50:55,Paraguay,Central,Malo,SI,MUCHOS,PIEDRA,MUCHO,NO,NO,NO,FRECUENTEMENTE,NO,SI,LAMENTABLE,NUNCA
420,9/11/2022 19:11:27,Paraguay,Central,Malo,SI,POCOS,ASFALTO,MUCHO,SI,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
422,9/11/2022 19:19:50,Paraguay,Central,Lamentable,NO,MUCHOS,TIERRA,POCO,SI,NO,SI FRECUENTEMENTE,REGULARMENTE,NO,NO,EXELENTE,NUNCA
424,9/11/2022 19:38:33,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
427,9/11/2022 19:46:52,Paraguay,Central,Malo,SI,POCOS,PIEDRA,NO SE REPARAN,SI,NO SE,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
428,9/11/2022 19:48:08,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,NO,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
429,9/11/2022 19:48:24,Paraguay,Central,Bueno,SI,POCOS,ASFALTO,MUCHO,NO,NO,SI,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
430,9/11/2022 19:48:36,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,SI,SI,SI,FRECUENTEMENTE,SI,,LAMENTABLE,NUNCA
433,9/11/2022 19:53:46,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,NO NUNCA,,SI,SI,LAMENTABLE,NUNCA
434,9/11/2022 19:53:56,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,MUCHO,NO,NO,NO NUNCA,REGULARMENTE,SI,SI,LAMENTABLE,REGULARMENTE
436,9/11/2022 20:12:17,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
437,9/11/2022 20:13:01,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,NO,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
440,9/11/2022 21:20:08,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI,NO,LAMENTABLE,NUNCA
441,9/11/2022 21:21:12,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,SI,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
442,9/11/2022 21:23:22,Paraguay,Central,Bueno,NO,POCOS,ASFALTO,POCO,NO,NO SE,NO NUNCA,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
443,9/11/2022 21:53:46,Paraguay,Central,Malo,SI,MUCHOS,TIERRA,MUCHO,NO,NO,NO,,SI,SI,LAMENTABLE,REGULARMENTE
445,9/11/2022 22:07:42,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,MUCHO,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
446,9/11/2022 22:15:30,Paraguay,Central,Exelente,NO,POCOS,ASFALTO,POCO,SI,SI,NO NUNCA,REGULARMENTE,SI,SI,EXELENTE,REGULARMENTE
447,9/11/2022 22:31:02,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO NUNCA,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
448,9/11/2022 22:53:22,Paraguay,Central,Malo,SI,MUCHOS,MIXTO,POCO,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
449,9/11/2022 23:21:33,Paraguay,Central,Lamentable,SI,MUCHOS,PIEDRA,NO SE REPARAN,SI,NO,SI FRECUENTEMENTE,FRECUENTEMENTE,SI,NO,LAMENTABLE,NUNCA
450,9/11/2022 23:30:16,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,NO NUNCA,REGULARMENTE,NO,SI,LAMENTABLE,NUNCA
456,10/11/2022 2:54:36,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,SI,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
458,10/11/2022 9:12:24,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,MUCHO,NO,SI,NO,,SI,NO SE,LAMENTABLE,NUNCA
459,10/11/2022 9:37:58,Paraguay,Central,Bueno,NO SE,POCOS,ASFALTO,MUCHO,NO,NO,SI,REGULARMENTE,SI,SI,LAMENTABLE,NUNCA
461,10/11/2022 10:12:33,Paraguay,Central,Bueno,,POCOS,MIXTO,POCO,NO,NO SE,NO NUNCA,REGULARMENTE,SI,SI,BUENA,REGULARMENTE
462,10/11/2022 10:38:40,Paraguay,Central,Lamentable,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO,SI,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
463,10/11/2022 10:56:48,Paraguay,Central,Malo,SI,POCOS,ASFALTO,NO SE REPARAN,NO,NO,NO,,SI,SI,BUENA,NUNCA
465,10/11/2022 11:46:06,Paraguay,Central,Bueno,NO,POCOS,ASFALTO,MUCHO,NO,NO,NO,REGULARMENTE,SI,SI,BUENA,NUNCA
466,10/11/2022 13:31:49,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,NUNCA
474,12/11/2022 3:18:44,Paraguay,Central,Malo,SI,MUCHOS,ASFALTO,NO SE REPARAN,NO,NO SE,NO,FRECUENTEMENTE,SI,SI,LAMENTABLE,REGULARMENTE
475,13/11/2022 14:00:50,Paraguay,Central,Exelente,NO,POCOS,ASFALTO,POCO,NO,NO SE,NO NUNCA,REGULARMENTE,SI,SI,EXELENTE,REGULARMENTE
477,18/11/2022 2:18:39,Paraguay,Central,Lamentable,SI,MUCHOS,MIXTO,NO SE REPARAN,NO,NO SE,NO,REGULARMENTE,SI NO ME LLEVA MUCHO TIEMPO.,SI,LAMENTABLE,NUNCA
